site,dec_tag,detected,reader,antenna
XAD,989.001039943853,11/05/2023 03:30,1,5
XAD,989.001039944083,11/05/2023 03:09,1,8
XAD,989.001039944083,11/05/2023 03:08,1,5
XAD,989.001039944879,11/05/2023 01:19,1,5
XAD,989.001039944879,11/05/2023 01:11,1,3
XAD,989.001039944879,10/05/2023 23:36,1,3
XAD,989.001039944879,10/05/2023 23:26,1,5
XAD,989.001039943618,10/05/2023 23:06,1,6
XAD,989.001039944879,10/05/2023 23:01,1,2
XAD,989.001039944879,10/05/2023 23:01,1,3
XAD,989.001039944053,10/05/2023 23:00,1,2
XAD,989.001039944879,10/05/2023 22:55,1,2
XAD,989.001039944811,10/05/2023 22:43,1,2
XAD,989.001039944097,10/05/2023 22:42,1,7
XAD,989.001039944154,10/05/2023 22:35,1,2
XAD,989.001039945360,10/05/2023 22:18,1,7
XAD,989.001039944880,10/05/2023 22:16,1,7
XAD,989.001039944880,10/05/2023 22:15,1,4
XAD,989.001039944465,10/05/2023 22:11,1,2
XAD,989.001039943587,10/05/2023 22:10,1,3
XAD,989.001039943779,10/05/2023 21:43,1,8
XAD,989.001039943779,10/05/2023 21:42,1,2
XAD,989.001039944943,10/05/2023 21:24,1,7
XAD,989.001039943842,10/05/2023 21:03,1,6
XAD,989.001039944879,10/05/2023 20:37,1,5
XAD,989.001039944879,10/05/2023 20:37,1,4
XAD,989.001039944777,10/05/2023 20:30,1,7
XAD,989.001039944777,10/05/2023 20:30,1,6
XAD,989.001039944777,10/05/2023 20:28,1,1
XAD,989.001039943818,10/05/2023 20:20,1,8
XAD,989.001039944879,10/05/2023 20:20,1,2
XAD,989.001039944879,10/05/2023 13:21,1,4
XAD,989.001039944879,10/05/2023 13:21,1,5
XAD,989.001039944879,10/05/2023 13:20,1,4
XAD,989.001039944879,10/05/2023 13:20,1,5
XAD,989.001039944879,10/05/2023 13:19,1,4
XAD,989.001039944879,10/05/2023 13:19,1,5
XAD,989.001039944879,10/05/2023 13:18,1,4
XAD,989.001039944879,10/05/2023 13:18,1,5
XAD,989.001039944879,10/05/2023 13:17,1,4
XAD,989.001039944879,10/05/2023 13:17,1,5
XAD,989.001039944879,10/05/2023 13:16,1,4
