site,dec_tag,detected,reader,antenna
Blackwater,989.001039944876,14/05/2023,1,3
Blackwater,989.001039944876,14/05/2023,1,2
Blackwater,989.001039944037,13/05/2023,1,1
Blackwater,989.001039943595,28/04/2023,1,1
Blackwater,989.001039944064,28/04/2023,1,3
Blackwater,989.001039944064,28/04/2023,1,2
Blackwater,989.001039940982,28/04/2023,1,2
Blackwater,989.001039944943,28/04/2023,1,3
Blackwater,989.001039944109,28/04/2023,1,3
Blackwater,989.001039944131,28/04/2023,1,2
Blackwater,989.001039943417,28/04/2023,1,1
Blackwater,989.001039943618,28/04/2023,1,1
Blackwater,989.001039943749,27/04/2023,1,1
Blackwater,989.001039944200,27/04/2023,1,2
Blackwater,989.001039943536,27/04/2023,1,1
Blackwater,989.001039944695,27/04/2023,1,2
Blackwater,989.001039943649,27/04/2023,1,1
Blackwater,989.001039941033,27/04/2023,1,3
Blackwater,989.001039944328,27/04/2023,1,1
Blackwater,989.001039943863,27/04/2023,1,2
Blackwater,989.001039943914,27/04/2023,1,2
Blackwater,989.001039943446,27/04/2023,1,2
Blackwater,989.001039944817,27/04/2023,1,2
Blackwater,989.001039942223,27/04/2023,1,3
Blackwater,989.001039944049,27/04/2023,1,3
Blackwater,989.001039944946,27/04/2023,1,1
Blackwater,989.001039944956,27/04/2023,1,1
Blackwater,989.001039941007,27/04/2023,1,3
Blackwater,989.001039944879,27/04/2023,1,1
Blackwater,989.001039945251,27/04/2023,1,2
Blackwater,989.001039944624,27/04/2023,1,3
Blackwater,989.001039944911,27/04/2023,1,1
Blackwater,989.001039943588,27/04/2023,1,3
Blackwater,989.001039942174,27/04/2023,1,3
Blackwater,989.001039944263,27/04/2023,1,3
Blackwater,989.001039945130,27/04/2023,1,3
Blackwater,989.001039945280,27/04/2023,1,2
Blackwater,989.001039941128,27/04/2023,1,2
Blackwater,989.001039942195,25/04/2023,1,2
Blackwater,989.001039943797,25/04/2023,1,1
Blackwater,989.001039944352,25/04/2023,1,1
Blackwater,989.001039944160,24/04/2023,1,2
Blackwater,989.001039944160,24/04/2023,1,1
Blackwater,989.001039941078,24/04/2023,1,3
Blackwater,989.001039944057,24/04/2023,1,1
Blackwater,989.001039942224,24/04/2023,1,1
Blackwater,989.001039944053,24/04/2023,1,3
Blackwater,989.001039944267,24/04/2023,1,3
Blackwater,989.001039944110,24/04/2023,1,1
Blackwater,989.001039943602,24/04/2023,1,1
Blackwater,989.001039944681,24/04/2023,1,1
Blackwater,989.001039944844,24/04/2023,1,1
Blackwater,989.001039940971,24/04/2023,1,2
Blackwater,989.001039944307,24/04/2023,1,3
Blackwater,989.001039945116,24/04/2023,1,1
Blackwater,989.001039941059,24/04/2023,1,1
Blackwater,989.001039944082,24/04/2023,1,2
Blackwater,989.001039944687,24/04/2023,1,1
Blackwater,989.001039943583,24/04/2023,1,1
Blackwater,989.001039944815,24/04/2023,1,1
Blackwater,989.001039943630,24/04/2023,1,1
Blackwater,989.001039943750,24/04/2023,1,1
Blackwater,989.001039944907,24/04/2023,1,1
Blackwater,989.001039943661,24/04/2023,1,1
Blackwater,989.001039944250,24/04/2023,1,2
Blackwater,989.001039944250,24/04/2023,1,1
Blackwater,989.001039944953,24/04/2023,1,1
Blackwater,989.001039944712,24/04/2023,1,2
Blackwater,989.001039943757,24/04/2023,1,3
Blackwater,989.001039943418,24/04/2023,1,1
Blackwater,989.001039944940,24/04/2023,1,1
Blackwater,989.001039943956,24/04/2023,1,2
Blackwater,989.001039944849,24/04/2023,1,3
Blackwater,989.001039945250,24/04/2023,1,3
Blackwater,989.001039945340,24/04/2023,1,1
Blackwater,989.001039944524,24/04/2023,1,2
Blackwater,989.001039943492,24/04/2023,1,3
Blackwater,989.001039943492,24/04/2023,1,2
Blackwater,989.001039945266,24/04/2023,1,2
Blackwater,989.001039943570,24/04/2023,1,1
Blackwater,989.001039944810,22/04/2023,1,2
Blackwater,989.001039943925,22/04/2023,1,3
Blackwater,989.001039943478,22/04/2023,1,3
Blackwater,989.001039944944,22/04/2023,1,3
Blackwater,989.001039945353,21/04/2023,1,2
Blackwater,989.001039943681,21/04/2023,1,1
Blackwater,989.001039943744,21/04/2023,1,1
Blackwater,989.001039945353,20/04/2023,1,1
Blackwater,989.001039945353,20/04/2023,1,3
Blackwater,989.001039944246,20/04/2023,1,1
Blackwater,989.001039942184,19/04/2023,1,1
Blackwater,989.001039942212,19/04/2023,1,2
Blackwater,989.001039944550,18/04/2023,1,1
Blackwater,989.001039944167,18/04/2023,1,2
Blackwater,989.001039944258,18/04/2023,1,1
Blackwater,989.001039944101,18/04/2023,1,2
Blackwater,989.001039944101,18/04/2023,1,1
Blackwater,989.001039944258,18/04/2023,1,2
Blackwater,989.001039944258,17/04/2023,1,3
Blackwater,989.001039943739,16/04/2023,1,3
Blackwater,989.001039943739,16/04/2023,1,2
Blackwater,989.001039944167,16/04/2023,1,3
Blackwater,989.001039943641,16/04/2023,1,3
Blackwater,989.001039943841,15/04/2023,1,1
Blackwater,989.001039941001,14/04/2023,1,2
Blackwater,989.001039944327,14/04/2023,1,3
Blackwater,989.001039941100,14/04/2023,1,1
Blackwater,989.001039942222,14/04/2023,1,2
Blackwater,989.001039944178,13/04/2023,1,2
Blackwater,989.001039941047,13/04/2023,1,3
Blackwater,989.001039943364,13/04/2023,1,2
Blackwater,989.001039942254,13/04/2023,1,1
Blackwater,989.001039944228,13/04/2023,1,3
Blackwater,989.001039942225,13/04/2023,1,3
Blackwater,989.001039943963,13/04/2023,1,1
Blackwater,989.001039941107,13/04/2023,1,3
Blackwater,989.001039941032,13/04/2023,1,2
Blackwater,989.001039945160,13/04/2023,1,2
Blackwater,989.001039942162,13/04/2023,1,2
Blackwater,989.001039944277,13/04/2023,1,3
Blackwater,989.001039941004,13/04/2023,1,2
Blackwater,989.001039944278,13/04/2023,1,3
Blackwater,989.001039944521,13/04/2023,1,3
Blackwater,989.001039942166,13/04/2023,1,3
Blackwater,989.001039942243,13/04/2023,1,2
Blackwater,989.001039944341,13/04/2023,1,3
Blackwater,989.001039944341,13/04/2023,1,2
Blackwater,989.001039941019,13/04/2023,1,3
Blackwater,989.001039944675,13/04/2023,1,1
Blackwater,989.001039944499,13/04/2023,1,3
Blackwater,989.001039944630,13/04/2023,1,3
Blackwater,989.001039943846,13/04/2023,1,1
Blackwater,989.001039943645,13/04/2023,1,3
Blackwater,989.001039942170,13/04/2023,1,2
Blackwater,989.001039943626,13/04/2023,1,2
Blackwater,989.001039943668,13/04/2023,1,2
Blackwater,989.001039944093,13/04/2023,1,1
Blackwater,989.001039944845,13/04/2023,1,1
Blackwater,989.001039944282,13/04/2023,1,2
Blackwater,989.001039940975,13/04/2023,1,2
Blackwater,989.001039943904,13/04/2023,1,1
Blackwater,989.001039944265,13/04/2023,1,2
Blackwater,989.001039944095,13/04/2023,1,2
Blackwater,989.001039944562,13/04/2023,1,3
Blackwater,989.001039944803,13/04/2023,1,1
Blackwater,989.001039944613,13/04/2023,1,3
Blackwater,989.001039941051,13/04/2023,1,3
Blackwater,989.001039945233,13/04/2023,1,1
Blackwater,989.001039944617,13/04/2023,1,3
Blackwater,989.001039944578,13/04/2023,1,1
Blackwater,989.001039942203,13/04/2023,1,3
Blackwater,989.001039943758,13/04/2023,1,1
Blackwater,989.001039944097,13/04/2023,1,1
Blackwater,989.001039944591,13/04/2023,1,3
Blackwater,989.001039944591,13/04/2023,1,2
Blackwater,989.001039944602,13/04/2023,1,3
Blackwater,989.001039943489,13/04/2023,1,2
Blackwater,989.001039943491,13/04/2023,1,1
Blackwater,989.001039944233,13/04/2023,1,3
Blackwater,989.001039944657,13/04/2023,1,3
Blackwater,989.001039944547,13/04/2023,1,3
Blackwater,989.001039944532,13/04/2023,1,3
Blackwater,989.001039944549,13/04/2023,1,3
Blackwater,989.001039944620,13/04/2023,1,1
Blackwater,989.001039945111,13/04/2023,1,1
Blackwater,989.001039944554,13/04/2023,1,3
Blackwater,989.001039945176,13/04/2023,1,1
Blackwater,989.001039944254,13/04/2023,1,1
Blackwater,989.001039943566,13/04/2023,1,1
Blackwater,989.001039943818,13/04/2023,1,2
Blackwater,989.001039944248,13/04/2023,1,1
Blackwater,989.001039945282,28/03/2023,1,1
Blackwater,989.001039944522,28/03/2023,1,1
Blackwater,989.001039942177,25/03/2023,1,1
Blackwater,989.001039941148,25/03/2023,1,1
Blackwater,989.001039940999,25/03/2023,1,1
Blackwater,989.001039943532,25/03/2023,1,1
Blackwater,989.001039943812,25/03/2023,1,1
Blackwater,989.001039943629,25/03/2023,1,3
Blackwater,989.001039943615,25/03/2023,1,2
Blackwater,989.001039944318,25/03/2023,1,1
